mint,creator,grp,dev_sol,n_create_slot_trades,n_create_slot_wallets,multi_wallet_tx,max_wallets_in_one_tx,creator_is_first,p0,last_create_slot_price
BXikaz8zv5kotQxbWPdH9QJmY22Dz9DQSQNsGiZ4pump,ARW9NzhpuBVYaYBZo6fW1P1U6LTNwUY6jfi7XC37Sa97,preset15,14.814814813,3,2,0,1,1,6.239104152744016e-08,8.119519374790769e-08
FLxy3B9JkxK7XoPGhS5ur9QbGQqMDX8itWgqvjAPpump,AJVFc4cbRvV7NpMQH9qZTuX2JLsdnfGHMZwMXKjZRrKQ,preset15,14.814814813,1,0,0,1,1,6.239104152604795e-08,6.239104152604795e-08
szVXzMs29NDFhkqY86zsmLKhCKXmtzGAX6TZqjEpump,G7JyKEtiDeXfxXKfkbE1xn2r6fQspZxjBQ4511syEW2x,preset15,14.814814813,12,11,3,3,1,6.239104152744016e-08,8.773384250824806e-08
C69bWqrSUZrk4e51j1o4hApkwEuiSBdhiecXJWDLpump,6yLb7xLt3gD8LbjNtcduvH8u127fFfNnrWpXNMdNWNdK,preset15,14.814814813,5,4,0,1,1,6.239104152604795e-08,6.316342242083424e-08
FTsYkiPz5k4shFrecNZjAWBBnKzQLeKsQHSCL76Xpump,5vuzbDcKsc3gpTsUJ48PHJEHo2hfzyyYQSW3UWWr4TvF,preset15,14.814814813,6,5,0,1,1,6.239104152604795e-08,6.326124283573417e-08
2HuL93oJBgLnNHiYJz6ur1Nmxfh8dCKviB7jpwgupump,BTf4A2exGK9BCVDNzy65b9dUzXgMqB4weVkvTMFQsadd,preset15,14.814814813,2,1,0,1,1,6.239104152604795e-08,7.387596668098232e-08
BcLaTfEVab8CUL2CaUe1F1MYzKFE8NwbpEZvynknpump,4pFwgy45U57M3Qzn4URkLGvqyrA1aBHaG7wRnjxPbcRb,preset15,14.814814813,2,1,0,1,1,6.239104152604795e-08,6.799793576805448e-08
D7Wiwo46EXzdHe5tK8cUaJ1Mxwf2fztv6eqcL51zpump,912kspVUFKRxTBAVRjZ2ikbiVHj6ahgewkHQqViehJf,preset15,14.814814813,9,6,0,1,1,6.239104152744016e-08,9.048247072373501e-08
Fbrhw9ngfrvXuH8e9tejyhP1uJweERUNGJ9xkVALpump,DW6bEaFLNnN3zjsjdspSLdapgbQir7NZ7WPyiqTzg95G,preset15,14.814814813,6,5,0,1,1,6.239104152604795e-08,6.338532189801376e-08
EE7gn9ihD2YVHWVY1usn9GkVdHP2uxrEmPRkufnfpump,F5TjPySiUJMdvqMZHnPP85Rc1vErDGV5FR5P2vdVm429,other,1.97530864,2,1,0,1,1,3.176204916505928e-08,3.419077720026692e-08
