phase,at_utc,mint,status,interval_ms
life,2026-08-03T01:36:41.757Z,H23di4NXN6j2pwLwbYjtag1Q3v7ANyXR72kzfWYKpump,200,4000
life,2026-08-03T01:36:45.759Z,H23di4NXN6j2pwLwbYjtag1Q3v7ANyXR72kzfWYKpump,200,4000
life,2026-08-03T01:36:49.766Z,H23di4NXN6j2pwLwbYjtag1Q3v7ANyXR72kzfWYKpump,200,4000
life,2026-08-03T01:36:53.763Z,H23di4NXN6j2pwLwbYjtag1Q3v7ANyXR72kzfWYKpump,200,4000
life,2026-08-03T01:36:57.778Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:37:01.942Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:37:05.789Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:37:09.790Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:37:13.907Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:37:17.786Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:37:21.797Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:37:25.828Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:37:29.792Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:37:33.792Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:37:37.796Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:37:41.797Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:37:45.798Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:37:49.800Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:37:53.801Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:37:57.809Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:38:01.799Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:38:05.813Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:38:09.812Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:38:13.815Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:38:17.810Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:38:21.814Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:38:25.821Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:38:29.822Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:38:33.816Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:38:37.836Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:38:41.859Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:38:45.830Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:38:49.822Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:38:53.827Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:38:57.824Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:39:01.829Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:39:05.832Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:39:09.840Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:39:13.840Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:39:17.839Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:39:21.837Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:39:25.841Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:39:29.839Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:39:33.846Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:39:37.844Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:39:41.857Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:39:45.841Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:39:49.854Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:39:53.855Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:39:57.853Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:40:01.863Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:40:05.861Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:40:09.859Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:40:13.860Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:40:17.865Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:40:21.867Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:40:25.896Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:40:29.884Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:40:33.937Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:40:37.876Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
