mint,symbol,grad_s_from_mint,grad_bracket_ms,grad_source,window_s,n_fills,n_amm_fills,pages,requests,reached_mint,truncated,create_slot_agrees,pairs_closed_60s,pairs_open_60s,pairs_closed_full,pairs_open_full,early_pairs,early_closed_60s,early_closed_full
6HWgQuKsq96UguqoZPfeLxN9TgNTq18yUrKv6EvEpump,Cracked,1033.0,1000,page,4633,2205,709,23,23,1,0,1,112,101,564,88,213,112,202
6P33UYzYbjLYNMqn5EMUdi8v6QieQpz4pBr6pm7Vpump,Dax,1063.0,2000,page,4663,2435,666,25,25,1,0,1,81,105,611,70,186,81,178
6Quog29HQ5tA5BdnCv3FWpW8WEpdxCsxEpt2TGCZpump,Gnomes,3458.0,0,page,7058,4643,1139,47,47,1,0,1,95,119,941,223,214,95,209
6cmSs58irWKE2ayjUouJgawxgM6zvhqVdnZPRV7Zpump,Dale,64730.0,848000,bisect,68330,8627,4649,87,87,1,0,1,120,129,1556,350,249,120,247
6kNFL3SmeqBJpiFtfUUZXxTacm48gCPx3aaqPhskpump,Kintaro,1154.0,4000,page,4754,4627,2265,47,47,1,0,1,75,133,847,207,208,75,197
6mXDkq6ytS174mGXqBbLareojc89drKi1sZuG7WDpump,nobrainer,229.0,2000,page,3829,1781,708,18,18,1,0,1,121,134,522,65,255,121,249
7333nQt9wsxqaYipXdC96Jq3wNZZpVoFf4tiFraEpump,Sol,5.0,1000,tape,3605,725,679,8,8,1,0,1,105,59,201,18,164,105,154
7Gs7gFKec9xPQgoX4LnkaHMcUwHatdiRcwfUQ97Hpump,Bullieve,1.0,0,tape,3601,1028,997,11,11,1,0,1,55,64,265,38,119,55,114
7LS4TVEVp5wadBoAzXw7Xsh59V87gQGxnEAKtc9jpump,Marley,1737.0,1000,page,5337,2628,516,27,27,1,0,1,80,108,590,66,188,80,186
7PfBNTnLC7tmCSW4cvibSsDbDzrx3mcRfFrRmuExpump,motion,1934.0,30000,bisect,5534,5264,2747,53,53,1,0,1,107,114,887,276,221,107,213
7wVuSgQV3TPJMQqyWQn31jj846V98GfEWHkVkGFDpump,Invasion,7067.0,3000,page,10667,3138,739,32,32,1,0,1,64,96,708,182,160,64,158
87ECoUcsioYVxcV71JAwWMhiAEof3gKBV6XLb4szpump,Trencher,3180.0,2000,page,6780,2791,427,28,28,1,0,1,102,179,716,70,281,102,275
89tHpU6nSR1BawzwhfxYLNwQKkZ6M7sidhpQDBRFpump,Chimera,1611.0,0,page,5211,2269,665,23,23,1,0,1,82,130,630,74,212,82,203
8RxXax9Npp8bb6RV9pTeC8QWdjf8fkwGWwboigempump,muu,1142.0,3000,page,4742,3740,583,38,38,1,0,1,84,74,522,60,158,84,151
8nTq1yi11iJB4M6EC3SqPsj5eoaaRw9kex1ZXgrzpump,Whitepill,1392.0,2000,page,4992,5944,4553,60,60,1,0,1,45,56,993,423,101,45,96
8pa39xkpXTNdoAJWjX7bcanpkoExKtzvs1YZSGNDpump,Pluto,750.0,3000,page,4350,4627,2388,47,47,1,0,1,78,116,885,251,194,78,188
99hKZwdnirySMKgsiM5obGiMuU5sSEpLoaB7GBZepump,TruthGPT,3.0,2000,tape,3603,888,831,9,9,1,0,1,98,60,205,75,158,98,147
9EisLvfTZqpXn9bBwEkcjipZbbwX8bJ6GA5fLf66pump,minning,4170.0,65000,bisect,7770,2377,614,24,24,1,0,1,72,117,610,78,189,72,179
9FBT95R6KUfR3AJ5QwVW7YgL7777BhMHLwS1tgtUpump,Marciana,89.0,2000,page,3689,4846,4005,49,49,1,0,,114,162,1138,203,276,114,272
